"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"6389",1000,98,0.02,1.5,0.4,-0.0345585140408195,0.0322894111433853,5,1,0,0.00524107930612308,2.5280962641726,4,1.55049947473642,0.004,0.006,0.002,3,0.0104837284150721
"6390",1000,98,0.02,1.5,0.4,0.0018720977778357,0.0346960819613106,7,1,0.3,0.166998568423425,0.98731911179866,1,0,0.001,0.002,0,Inf,0.333998763144009
"6391",1000,98,0.02,1.5,0.4,0.0190373776594505,0.0474981054011429,6,1,0.6,0.316868579660748,0.479352922597909,1,0,0.001,0,0.002,0,0.634223197036017
"6392",1000,98,0.02,1.5,0.4,0.0718375728604143,0.0954713714801378,8,1,0.9,0.467243234216189,0.13973517016718,1,0,0.001,0.002,0,Inf,0.934596136748652
"6393",1000,99,0.02,1.5,0.4,-0.011739106634659,0.0318202554744526,5,1,0,0.00230563304758802,1.17519402467232,2,0.618286834283398,0.002,0.002,0.002,1,0.00461127797119666
"6394",1000,99,0.02,1.5,0.4,0.00174297097831715,0.0374055213079603,6,1,0.3,0.153960597942272,0.0529691512237396,1,0,0.001,0,0.002,0,0.307921988915887
"6395",1000,99,0.02,1.5,0.4,0.0248742437729466,0.0420289087732303,7,1,0.6,0.303957630162302,1.52134333238182,2,0.472890329695179,0.002,0.004,0,Inf,0.607981415932801
"6396",1000,99,0.02,1.5,0.4,0.0821336759873538,0.0935083718084219,8,1,0.9,0.467441642882509,1.06268906104212,1,0,0.001,0,0.002,0,0.934997102289191
"6397",1000,100,0.02,1.5,0.4,-0.040704725915063,0.0320070045724292,5,1,0,-0.00576350918351842,0.0962688498029029,1,0,0.001,0.002,0,Inf,-0.0115280871989249
"6398",1000,100,0.02,1.5,0.4,-0.00477188870391795,0.0395454403806002,6,1,0.3,0.163684151753153,4.0472639873281,2,1.45937966663416,0.004,0.002,0.006,0.333333333333333,0.327438520974288
"6399",1000,100,0.02,1.5,0.4,0.0271783144004158,0.0461868280841136,7,1,0.6,0.314905700048993,0.177450088828791,1,0,0.001,0.002,0,Inf,0.630240010147654
"6400",1000,100,0.02,1.5,0.4,0.0605196527608382,0.0971958045758383,7,1,0.9,0.466689858944939,1.81260529292788,1,0,0.001,0.002,0,Inf,0.934148419220536
"6401",1000,101,0.02,1.5,0.4,-0.0373361845189204,0.0321874315743376,5,1,0,-0.00969973108895389,1.11436339033474,1,0,0.001,0,0.002,0,-0.0194294982683448
"6402",1000,101,0.02,1.5,0.4,-0.0198427769608665,0.0368791697553743,6,1,0.3,0.166389459250369,0.0510985046161667,1,0,0.001,0.002,0,Inf,0.332785400057087
"6403",1000,101,0.02,1.5,0.4,0.00856606073807763,0.0452365062150663,6,1,0.6,0.311857055620221,0.91174157089359,1,0,0.001,0.002,0,Inf,0.624689699290036
"6404",1000,101,0.02,1.5,0.4,0.0896390518637865,0.0935503965339309,8,1,0.9,0.460780536192328,0.138938405819939,1,0,0.001,0.002,0,Inf,0.93487969562626
"6405",1000,102,0.02,1.5,0.4,-0.0147056455678348,0.0315814468893462,5,1,0,-3.83095122881982e-05,0.206502979643353,1,0,0.001,0.002,0,Inf,-7.66402708559495e-05
"6406",1000,102,0.02,1.5,0.4,0.00416419619009933,0.0362507205551265,6,1,0.3,0.159134655722433,3.87725697258069,2,0.654979757788724,0.002,0,0.004,0,0.318680206416392
"6407",1000,102,0.02,1.5,0.4,0.0151265563217876,0.0552934534005761,8,1,0.6,0.303925195848327,1.07496829814332,2,0.0899787236722795,0.002,0.002,0.002,1,0.625010380483673
