n,r,tau,alph_val,alph_type,reactivation_rate,reversion_rate,rep,net_type,net_clustering,net_path_len,net_deg_assort,peak,duration,m_rec,f_rec,m_inf,f_inf,latent_prev
1000,0,0.04,1.0,SUS,100000,0,13,SAH,0.030982831374390497,3.2084624624624625,-0.02112725660300892,489,16.013157377871437,325,338,0,0,0
1000,0,0.04,1.0,SUS,100000,0,14,SAH,0.028318164700192813,3.201227227227227,-0.01326599576448746,477,17.26464133021469,350,326,0,0,0
1000,0,0.04,1.0,SUS,100000,0,15,SAH,0.027451180457416936,3.2224864864864866,-0.02655022710783368,497,16.095413764582236,340,337,0,0,0
1000,0,0.04,1.0,SUS,100000,0,16,SAH,0.027575744862646658,3.2124744744744747,-0.03289366926244737,502,15.33243969954645,342,350,0,0,0
1000,0,0.04,1.0,SUS,100000,0,17,SAH,0.03140936508573014,3.1994994994994994,-0.018300330362858965,484,15.05251884990932,333,329,0,0,0
1000,0,0.04,1.0,SUS,100000,0,18,SAH,0.02895608880239147,3.2465545545545544,-0.005390000838538767,501,14.280234183979013,354,342,0,0,0
1000,0,0.04,1.0,SUS,100000,0,19,SAH,0.029130927810102354,3.223163163163163,-0.04520582967193503,464,17.757184391164746,329,349,0,0,0
1000,0,0.04,1.0,SUS,100000,0,20,SAH,0.02977007077308427,3.2384464464464466,0.00883337561428902,506,18.932592454391536,342,348,0,0,0
1000,0,0.04,1.0,SUS,100000,0,21,SAH,0.02666566561232898,3.2300880880880882,-0.012516193464757916,498,18.269706305815955,336,349,0,0,0
1000,0,0.04,1.0,SUS,100000,0,22,SAH,0.030287482683597763,3.2373173173173173,-0.0044358728697657035,528,16.853153838912995,363,375,0,0,0
1000,0,0.04,1.0,SUS,100000,0,23,SAH,0.02971239408975911,3.2269749749749748,-0.02444582206268772,533,13.999303389301826,365,346,0,0,0
1000,0,0.04,1.0,SUS,100000,0,24,SAH,0.029094482371536452,3.2338718718718718,-0.006077348234747429,500,27.35209201766479,358,341,0,0,0
1000,0,0.04,1.0,SUS,100000,0,25,SAH,0.03237575215436311,3.2137177177177176,-0.030789777526747632,497,12.40111371439479,336,343,0,0,0
1000,0,0.04,1.0,SUS,100000,0,26,SAH,0.03029813972391807,3.2267667667667665,-0.03288067351093069,522,17.021195765840396,347,355,0,0,0
1000,0,0.04,1.0,SUS,100000,0,27,SAH,0.025408282506235707,3.2414554554554553,0.0029209220981108405,524,13.528974000494522,332,344,0,0,0
1000,0,0.04,1.0,SUS,100000,0,28,SAH,0.03396111462360852,3.2229369369369367,-0.023609525295433715,486,14.28724973355211,323,359,0,0,0
1000,0,0.04,1.0,SUS,100000,0,29,SAH,0.0278055749469006,3.2175875875875874,-0.02689211683087426,514,20.071486816474337,356,353,0,0,0
1000,0,0.04,1.0,SUS,100000,0,30,SAH,0.02858837575326426,3.23405005005005,-0.02369227931750806,500,15.35836158375573,332,353,0,0,0
1000,0,0.04,1.0,SUS,100000,0,31,SAH,0.02935280967233292,3.222152152152152,-0.024083566923378024,484,15.849969626638476,338,345,0,0,0
1000,0,0.04,1.0,SUS,100000,0,32,SAH,0.029091362605622294,3.252998998998999,-0.014277325351453991,516,20.487300644784685,349,345,0,0,0
1000,0,0.04,1.0,SUS,100000,0,33,SAH,0.025606850278562163,3.221887887887888,-0.030042555245896326,514,15.326824277725228,355,349,0,0,0
1000,0,0.04,1.0,SUS,100000,0,34,SAH,0.027019049934329485,3.236952952952953,-0.018807482632283264,494,13.287998657343676,328,345,0,0,0
1000,0,0.04,1.0,SUS,100000,0,35,SAH,0.03489865250795075,3.2182602602602604,-0.035228453095831815,499,16.969302053788198,352,356,0,0,0
