"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"96",1000,8,0.1,"0.025",1,"i",0.1,3.34065529923103,0.00861346615290775,0.0489396411092985,7,1,0.6,0.314263049932144,199.9798403414,41,24.3648850060485,27.7706896551724,NA,NA,1.06593670469775,350.320236156352,0.629257906256012
"97",1000,9,0.1,"0.025",1,"i",0.1,3.01504513540622,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,199.994013193129,46,155.536699024965,27.5296909608691,NA,NA,1.13810070936288,370.687728761318,0.0182889426957224
"98",1000,9,0.1,"0.025",1,"i",0.1,3.27572718154463,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,199.944418600012,49,177.40110298063,27.6760730889826,NA,NA,1.10672780101847,360.23384183059,0.632747645023993
"99",1000,10,0.1,"0.025",1,"i",0.1,3.13009027081244,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,199.984996487798,46,31.9552207402322,27.9063306826397,NA,NA,1.15682673335436,389.969172932331,0.0134301575989893
"100",1000,10,0.1,"0.025",1,"i",0.1,3.32166499498496,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,199.997321748805,39,183.041203818149,26.1062673322241,NA,NA,1.03761069336768,353.468605141172,0.631531611324036
"101",1000,1,0.1,"0.025",1,"i",0.3,3.06111668338348,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,199.997731641494,69,64.2809141986825,46.0315123418118,NA,NA,1.03884311435388,493.076104053237,-0.00277125828867084
"102",1000,1,0.1,"0.025",1,"i",0.3,3.30959545302574,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,199.981842919682,72,20.0505113244584,48.2586045349491,NA,NA,1.07629519619097,437.930901649212,0.623206659253171
"103",1000,2,0.1,"0.025",1,"i",0.3,3.03233032430625,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,199.961543830015,72,10.6220777989705,48.3762476310802,NA,NA,1.02302068583083,491.987838988204,0.0404872521050336
"104",1000,2,0.1,"0.025",1,"i",0.3,3.42657973921765,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,199.991624349179,71,162.03503505762,50.9078931166113,NA,NA,1.11714764930876,443.1197224509,0.630880186003806
"105",1000,3,0.1,"0.025",1,"i",0.3,3.07572718154463,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,199.992458288326,69,162.521533618932,48.8791295867366,NA,NA,1.12501412771184,482.497060206961,-0.0189592336685969
"106",1000,3,0.1,"0.025",1,"i",0.3,3.33176195252424,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,199.984663043477,73,33.1482468836175,48.9123925013921,NA,NA,1.06453892183763,448.095683027794,0.626105340377575
"107",1000,4,0.1,"0.025",1,"i",0.3,3.02564359745904,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,199.993441973458,70,41.6934735801977,47.4386912522506,NA,NA,1.06927263293279,487.169669139291,0.0142370159678754
"108",1000,4,0.1,"0.025",1,"i",0.3,3.29030424607155,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,199.987125925325,76,3.63620420692227,47.6880606443462,NA,NA,1.16034664761465,450.514502346853,0.632714598391399
"109",1000,5,0.1,"0.025",1,"i",0.3,3.01257104647275,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,199.997883449506,71,130.925670169492,47.4787141073658,NA,NA,1.0138400559043,487.818442427138,-0.0182319244652361
"110",1000,5,0.1,"0.025",1,"i",0.3,3.31370779003678,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,199.994890201874,77,34.4149890442359,48.8083533426008,NA,NA,1.03264446340098,451.82438352735,0.632280843486507
"111",1000,6,0.1,"0.025",1,"i",0.3,2.97268472082915,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,199.975180120873,70,16.0458825703441,48.2681335073653,NA,NA,1.03175831428239,499.343472600308,-0.0244515642202204
"112",1000,6,0.1,"0.025",1,"i",0.3,3.19327983951856,0.0361283070816427,0.0491252316487106,6,1,0.6,0.314442605650452,199.999082286858,69,187.099497047728,49.0803414511675,NA,NA,0.979617597788586,457.215952119213,0.628886122355045
"113",1000,7,0.1,"0.025",1,"i",0.3,2.93610832497493,-0.00934271302426,0.0303692822737676,5,1,0,-0.00229553253541975,199.995320246516,72,53.3308068584336,47.9736167094174,NA,NA,1.05431100034525,492.559958410351,-0.00460018835575634
