"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"7467",1500,49,0.375,0.0244763987597436,0.043872528866597,7,0.634891504194825,0.317348515780169,8.58954731280599,500,0.962039311022032,0.755333333333333,0.736,0.774666666666667,0.950086058519794
"7468",1500,49,0.375,0.0551140986229576,0.052312904536532,7,0.720774803356825,0.360387298756944,7.66463629613144,489,1.02553170787973,0.744,0.734666666666667,0.753333333333333,0.975221238938053
"7469",1500,49,0.375,0.0764325648180482,0.0678843743328973,7,0.831859352218527,0.415753609200141,10.3924019262372,500,0.892888219534509,0.73,0.724,0.736,0.983695652173913
"7470",1500,49,0.375,0.147462481122504,0.106689039737625,8,0.934830382190443,0.465695577304687,9.99053823264212,465,1.09756543577778,0.744666666666667,0.730666666666667,0.758666666666667,0.963093145869947
"7471",500,50,0.375,-0.0120384126513571,0.0510206600350505,4,-0.025664095701695,-0.0128180754547406,7.45662117709204,191,1.26100847448258,0.904,0.912,0.896,1.01785714285714
"7472",500,50,0.375,-0.032346572534325,0.0609959336044264,5,0.13434854529532,0.0670760984417572,10.1010136293431,166,1.16149240792665,0.828,0.824,0.832,0.990384615384615
"7473",500,50,0.375,-0.0110576586973565,0.0651054604579739,5,0.228868823189487,0.114418826844366,7.30722989079797,186,1.25125649972418,0.86,0.84,0.88,0.954545454545454
"7474",500,50,0.375,0.0207759130690963,0.0713362453200214,6,0.314284714899042,0.15714212842447,7.74407825802765,169,0.991158997999283,0.828,0.816,0.84,0.971428571428571
"7475",500,50,0.375,0.00387055318072886,0.0705164046250531,5,0.397523427735742,0.19860847175609,8.38922818772613,170,0.803334207509577,0.806,0.812,0.8,1.015
"7476",500,50,0.375,0.0094997432756619,0.088418819418445,6,0.520121557686542,0.256899060358125,7.87514251779247,161,1.12713597883916,0.764,0.756,0.772,0.979274611398964
"7477",500,50,0.375,0.00202575541018876,0.104551502817783,7,0.620795615305027,0.310291446870357,8.79702950570753,181,0.966481052980602,0.79,0.776,0.804,0.965174129353234
