"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"97",1000,9,0.015,"100000",1,"i",0,0.526901091624388,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,4.78563975397263,7,0.272853851443713,8,NA,NA,0.2,NA,0.0182889426957224
"98",1000,9,0.015,"100000",1,"i",0,0.572457177357315,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,16.0027058033414,14,0,29,NA,NA,0.268518518518519,NA,0.632747645023993
"99",1000,10,0.015,"100000",1,"i",0,0.547006066743921,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,2.9867129600364,10,0,10,NA,NA,1,NA,0.0134301575989893
"100",1000,10,0.015,"100000",1,"i",0,0.580485144754652,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,7.93573847682323,12,0,27,NA,NA,2.07142857142857,NA,0.631531611324036
"101",1000,1,0.03,"100000",1,"i",0,1.0396245339793,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,12.9710171758699,10,0,15,NA,NA,0.5,NA,-0.00277125828867084
"102",1000,1,0.03,"100000",1,"i",0,1.12401355008421,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,13.1431014397403,11,2.84271525885741,24,NA,NA,0.977777777777778,NA,0.623206659253171
"103",1000,2,0.03,"100000",1,"i",0,1.02984803467005,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,23.283606032214,18,1.73813328712728,52,NA,NA,0.588095238095238,NA,0.0404872521050336
"104",1000,2,0.03,"100000",1,"i",0,1.16374406237581,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,22.7925418131538,49,8.14797357912504,176,NA,NA,0.786931274779572,NA,0.630880186003806
"105",1000,3,0.03,"100000",1,"i",0,1.04458658995855,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,10.1174472699265,16,2.62763353654471,46,NA,NA,0.723148148148148,NA,-0.0189592336685969
"106",1000,3,0.03,"100000",1,"i",0,1.13154179519691,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,3.69859278944819,10,0.570235518749643,12,NA,NA,0.285714285714286,NA,0.626105340377575
"107",1000,4,0.03,"100000",1,"i",0,1.02757707083515,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,18.8230248777345,21,2.63825058305386,64,NA,NA,Inf,NA,0.0142370159678754
"108",1000,4,0.03,"100000",1,"i",0,1.11746181942053,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,19.8095874190968,18,4.98397456737259,61,NA,NA,0.810229276895944,NA,0.632714598391399
"109",1000,5,0.03,"100000",1,"i",0,1.02313733653792,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,3.73792486085506,7,0,9,NA,NA,2.5,NA,-0.0182319244652361
"110",1000,5,0.03,"100000",1,"i",0,1.12541019284268,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,28.750059841403,18,5.42259450111941,130,NA,NA,1.09770258980785,NA,0.632280843486507
"111",1000,6,0.03,"100000",1,"i",0,1.00959103726273,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,5.41730940806646,14,0.587393006027297,18,NA,NA,2.08333333333333,NA,-0.0244515642202204
"112",1000,6,0.03,"100000",1,"i",0,1.08451013417611,0.0361283070816427,0.0491252316487106,6,1,0.6,0.314442605650452,11.9672996147846,11,0.293921104112047,37,NA,NA,0.446666666666667,NA,0.628886122355045
"113",1000,7,0.03,"100000",1,"i",0,0.997168865085823,-0.00934271302426,0.0303692822737676,5,1,0,-0.00229553253541975,5.81283216269372,10,0.609931748430748,16,NA,NA,0.708333333333333,NA,-0.00460018835575634
"114",1000,7,0.03,"100000",1,"i",0,1.11948297723359,0.0121122668727557,0.0477426945664412,7,1,0.6,0.312729059797245,11.3918850255548,7,0.369772521695322,16,NA,NA,Inf,NA,0.630146774875255
"115",1000,8,0.03,"100000",1,"i",0,1.04179330444163,-0.0198153154555554,0.0329594872968643,5,1,0,-0.000118892283671401,4.21948980529869,8,0.547582446204826,9,NA,NA,0,NA,-0.000238175651096152
"116",1000,8,0.03,"100000",1,"i",0,1.13456217709733,0.00861346615290775,0.0489396411092985,7,1,0.6,0.314263049932144,17.2241460501665,15,6.84368682396381,54,NA,NA,4.52083333333333,NA,0.629257906256012
